Title,ReleaseDate,Overview,VoteAverage,VoteCount,OriginalLanguage,Genres,Runtime,Tagline,Budget,Revenue,ProductionCompanies,ProductionCountries,SpokenLanguages,IMDBId
Ginger Snaps,2000-12-11,"The story of two outcast sisters, Ginger and Brigitte, in the mindless suburban town of Bailey Downs. On the night of Ginger's first period, she is savagely attacked by a wild creature. Ginger's wounds miraculously heal but something is not quite right. Now Brigitte must save her sister and save herself.",6.9,841,en,Fantasy;Horror,108,They don't call it the curse for nothing.,5000000,0,Copperheart Entertainment;Téléfilm Canada,Canada,English,tt0210070
The Family Man,2000-12-12,"Jack's lavish, fast-paced lifestyle changes one Christmas night when he stumbles into a grocery store holdup and disarms the gunman. The next morning he wakes up in bed lying next to Kate, his college sweetheart he left in order to pursue his career, and to the horrifying discovery that his former life no longer exists. As he stumbles through this alternate suburban universe, Jack finds himself at a crossroad where he must choose between his high-power career and the woman he loves.",6.796,1902,en,Comedy;Drama;Romance;Fantasy,125,"What if you made different choices? What if you said yes, instead of no? What if you got a second chance?",60000000,124700000,Beacon Pictures;Saturn Films;Universal Pictures,United States of America,English,tt0218967
The Emperor's New Groove,2000-12-15,"Kuzco is a self-centered emperor who summons Pacha from a village and to tell him that his home will be destroyed to make room for Kuzco's new summer home. Kuzco's advisor, Yzma, tries to poison Kuzco and accidentally turns him into a llama, who accidentally ends up in Pacha's village. Pacha offers to help Kuzco if he doesn't destroy his house, and so they form an unlikely partnership.",7.56,6563,en,Adventure;Animation;Comedy;Family;Fantasy,78,It's all about... ME!,100000000,169327687,Walt Disney Pictures;Walt Disney Feature Animation,United States of America,English,tt0120917
What Women Want,2000-12-15,"Advertising executive Nick Marshall is as cocky as they come, but what happens to a chauvinistic guy when he can suddenly hear what women are thinking? Nick gets passed over for a promotion, but after an accident enables him to hear women's thoughts, he puts his newfound talent to work against Darcy, his new boss, who seems to be infatuated with him.",6.447,3846,en,Comedy;Romance,127,He has the power to hear everything women are thinking. Finally... a man is listening.,70000000,374100000,Paramount Pictures;Icon Productions;Wind Dancer Films;Icon Entertainment International,United Kingdom;United States of America,English;Français,tt0207201
"Dude, Where's My Car?",2000-12-15,Two stoners wake up after a night of partying and cannot remember where they parked their car.,5.546,1817,en,Comedy;Romance,83,"After a night they can't remember, comes a day they'll never forget.",13000000,73180723,20th Century Fox;Wayne Rice/Gil Netter Productions;Alcon Entertainment,United States of America,日本語;Polski;Français;English,tt0242423
Battle Royale,2000-12-16,"In the future, the Japanese government captures a class of ninth-grade students and forces them to kill each other under the revolutionary ""Battle Royale"" act.",7.282,3290,ja,Drama;Thriller;Action,113,Could you kill your best friend?,4500000,30600000,Toei Company;WOWOW;AM Associates;Kobi;Nippan Group Holdings;MF Pictures;GAGA Communications,Japan,日本語,tt0266308
Cast Away,2000-12-22,"Chuck Nolan, a top international manager for FedEx, and Kelly, a Ph.D. student, are in love and heading towards marriage. Then Chuck's plane to Malaysia crashes at sea during a terrible storm. He's the only survivor, and finds himself marooned on a desolate island. With no way to escape, Chuck must find ways to survive in his new home.",7.665,11155,en,Adventure;Drama,143,"At the edge of the world, his journey begins.",90000000,429632142,20th Century Fox;DreamWorks Pictures;ImageMovers;Playtone,United States of America,Pусский;English,tt0162222
Miss Congeniality,2000-12-22,"When the local FBI office receives a letter from a terrorist known only as 'The Citizen', it's quickly determined that he's planning his next act at the Miss America beauty pageant. Because tough-as-nails Gracie Hart is the only female Agent at the office, she's chosen to go undercover as the contestant from New Jersey.",6.527,3806,en,Comedy;Crime;Action,111,Unpolished. Unkempt. Unleashed. Undercover.,45000000,212000000,Village Roadshow Pictures;Castle Rock Entertainment;NPV Entertainment;Fortis Films;Warner Bros. Pictures,United States of America,English;Español;Français;Pусский,tt0212346
Chocolat,2000-12-22,"A mother and daughter move to a small French town where they open a chocolate shop. The town, religious and morally strict, is against them, as they represent free-thinking and indulgence. When a group of gypsies arrive by riverboat, the Mayor's prejudices lead to a crisis.",7,3198,en,Comedy;Drama;Romance,121,One taste is all it takes.,25000000,152500000,Fat Free;Miramax;David Brown Productions,United Kingdom;United States of America,Français;English,tt0241303
Dracula 2000,2000-12-22,"When a team of techno-savvy thieves break into a high-security vault, they don't discover priceless works of art... they find a crypt unopened for 100 years.",5.259,646,en,Thriller;Horror;Action;Fantasy,98,The Most Seductive Evil of All Time Has Now Been Unleashed in Ours.,28000000,47053625,Wes Craven Films;Dimension Films;Neo Art & Logic,United States of America,English,tt0219653
Traffic,2000-12-27,"An exploration of the United States of America's war on drugs from multiple perspectives. For the new head of the Office of National Drug Control Policy, the war becomes personal when he discovers his well-educated daughter is abusing cocaine within their comfortable suburban home. In Mexico, a flawed, but noble policeman agrees to testify against a powerful general in league with a cartel, and in San Diego, a drug kingpin's sheltered trophy wife must learn her husband's ruthless business after he is arrested, endangering her luxurious lifestyle.",7.062,2093,en,Thriller;Drama;Crime,147,No one gets away clean,48000000,207500000,USA Films;Initial Entertainment Group;Bedford Falls Productions;Laura Bickford Productions;Compulsion Inc.,United States of America,Español;English,tt0181865
Doc Martin,2001-01-01,"Doc Martin tells the tale of Martin Clunes' character in the film, in the months leading up to the Saving Grace story. Martin Bamford is a heart-broken London obstetrician, in a jealous rage after he finds out that his wife has been sleeping with three of his buddies. He escapes to a small Cornish fishing village, which he grows surprisingly attached to, and is extremely reluctant to return with his cheating wife when she comes to pick him up. Although he has only been looking for a week's R & R, Dr Bamford stumbles across a network of secrets in the village of Port Isaac, and finds himself embroiled in the most exciting scandal the village has seen for centuries.",7.1,21,en,Drama;Comedy;Thriller,86,,0,0,,United Kingdom,English,tt0365130
Sexy Beast,2001-01-12,"Ex-safecracker Gal Dove has served his time behind bars and is blissfully retired to a Spanish villa paradise with a wife he adores. The idyll is shattered by the arrival of his nemesis Don Logan, intent on persuading Gal to return to London for one last big job.",6.972,748,en,Crime;Drama;Thriller,89,Yes or yes?,5000000,0,Recorded Picture Company;Film4 Productions;Fox Searchlight Pictures;KanZaman Productions;Jeremy Thomas Productions,Spain;United Kingdom;United States of America,English;Español,tt0203119
Save the Last Dance,2001-01-12,"After the death of her mother, Sara moves to the South Side of Chicago to live with her father and gets transferred to a majority-black school. Her life takes a turn for the better when befriends Chenille and her brother Derek, who helps her with her dancing skills.",6.5,1243,en,Drama;Family;Romance;Music,113,The Only Person You Need To Be Is Yourself.,13000000,131706809,MTV Films;Cort/Madden Productions,United States of America,English,tt0206275
Donnie Darko,2001-01-19,"After narrowly escaping a bizarre accident, a troubled teenager is plagued by visions of a large bunny rabbit that manipulates him to commit a series of crimes.",7.8,12195,en,Fantasy;Drama;Mystery,114,Why Are You Wearing That Stupid Man Suit?,4500000,7500000,Flower Films;Gaylord Films;Adam Fields Productions;Pandora Cinema,United States of America,English,tt0246578
The Pledge,2001-01-19,A police chief about to retire pledges to help a woman find her daughter's killer.,6.5,985,en,Crime;Drama;Mystery;Thriller,123,"Detective Jerry Black has made a promise he can't break, to catch a killer he can't find.",35000000,29419291,Morgan Creek Entertainment;Franchise Pictures;Clyde Is Hungry Films;Pledge Productions;Epsilon Motion Pictures;Warner Bros. Pictures,Switzerland;United States of America,English,tt0237572
Intimacy,2001-01-20,"Jay, a failed musician, walked out of his family and now earns a living as head bartender in a trendy London pub. Every Wednesday afternoon a woman comes to his house for graphic, almost wordless, sex. One day Jay follows her and finds out about the rest of her life. This eventually disrupts their relationship.",6.29,497,en,Romance;Drama;Fantasy,119,Every Wednesday. She meets him once per week.,0,0,ARTE France Cinéma;Téléma Productions;StudioCanal;France 2 Cinéma;WDR;Mikado Film;Canal+;Bac Films;Greenpoint Films;Azor Films,France;Germany;United Kingdom,English,tt0256103
Brotherhood of the Wolf,2001-01-31,"In 18th century France, the Chevalier de Fronsac and his Native American friend Mani are sent by the King to the Gevaudan province to investigate the killings of hundreds by a mysterious beast.",6.723,1486,fr,Adventure;Horror;Action;History,143,The year is 1766... The hunt for a killer has begun.,29000000,70800000,Davis Films;Eskwad;Natexis Banques Populaires Images;Studio Image Soficas;Canal+;TF1 Films Production;StudioCanal;Metropolitan Filmexport,France,Français;Deutsch;Italiano,tt0237534
Hannibal,2001-02-08,"After having successfully eluded the authorities for years, Hannibal peacefully lives in Italy in disguise as an art scholar. Trouble strikes again when he's discovered leaving a deserving few dead in the process. He returns to America to make contact with now disgraced Agent Clarice Starling, who is suffering the wrath of a malicious FBI rival as well as the media.",6.772,4595,en,Crime;Drama;Thriller,131,His genius undeniable. His evil unspeakable. His name...Hannibal.,87000000,351692268,Dino De Laurentiis Company;Universal Pictures;Scott Free Productions;Metro-Goldwyn-Mayer,United Kingdom;United States of America,English;Italiano,tt0212985
From Hell,2001-02-08,Frederick Abberline is an opium-huffing inspector from Scotland Yard who falls for one of Jack the Ripper's prostitute targets in this Hughes brothers adaption of a graphic novel that posits the Ripper's true identity.,6.692,2733,en,Horror;Mystery;Thriller,122,More than the legend will survive.,35000000,74558115,Underworld Pictures,United States of America,English,tt0120681
